record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1567602,153926,TR Deli and Grocery,5460 Park Heights Ave,,Baltimore,Baltimore City,MD,21215,39.351448,-76.683487,Other
1329563,154174,Family Dollar 12207,9608 Fort Meade Rd,,Laurel,Prince Georges,MD,20707,39.095417,-76.84137,Other
1329574,154188,Family Dollar 12154,5431 Reisterstown Rd,,Baltimore,Baltimore City,MD,21215,39.346786,-76.68885,Other
1388182,154286,Royal Farms 287,3300 Forestville Rd,,District Heights,Prince Georges,MD,20747,38.843361,-76.873421,Convenience Store
1388223,154296,STREETS MARKET 22nd St,1255 22nd St Nw,,Washington,Dist Of Columbia,DC,20037,38.906693,-77.048363,Supermarket
1270347,154321,Royal Farms 135,8859 Harmony Rd,,Denton,Caroline,MD,21629,38.850487,-75.81675,Convenience Store
1270754,154394,Jolly Food Mart,1500 N Monroe St,,Baltimore,Baltimore City,MD,21217,39.305527,-76.647934,Convenience Store
1267690,154434,5th Street Food Market,439 E Patapsco Ave,,Baltimore,Baltimore City,MD,21225,39.236958,-76.604462,Convenience Store
1390508,154595,FRESHFARM Columbia Heights Farmers Market n/a,1375 Kenyon St NW,,Washington,Dist Of Columbia,DC,20010,38.929859,-77.031853,Farmers and Markets
1635453,154726,DOLLARTREE 10442,8050 Liberty Road,,Baltimore,Baltimore,MD,21244,39.354012,-76.757599,Other
1389521,154791,Great Wall Supermarket,700 Hungerford Dr,,Rockville,Montgomery,MD,20850,39.09314,-77.153542,Super Store
1390108,154852,7-Eleven Store 36438J,1233 Brentwood Rd NE,,Washington,Dist Of Columbia,DC,20018,38.920509,-76.989212,Convenience Store
1390190,154876,Five Star Trading Llc Dba Brightwood Mart,4034 Georgia Ave NW,,Washington,Dist Of Columbia,DC,20011,38.940559,-77.025452,Convenience Store
1268151,154938,Sewa International Inc,5774 2nd St Ne,,Washington,Dist Of Columbia,DC,20011,38.960121,-77.004616,Grocery Store
1268178,154950,Family Dollar 11850,206 North Point Blvd,,Baltimore,Baltimore,MD,21224,39.295391,-76.52462,Other
1330483,155049,Suburban Market,4600 Sheriff Road NE,,Washington,Dist Of Columbia,DC,20019,38.902985,-76.936485,Convenience Store
1330650,155094,Harris Teeter 270,10125 Ward Rd,,Dunkirk,Calvert,MD,20754,38.72094,-76.652245,Super Store
1331615,155145,Fairland International Market,13318 Old Columbia Pike,,Silver Spring,Montgomery,MD,20904,39.075634,-76.95797,Other
1462057,155214,Nyc Grocery & Tobacco1,2704 W Cold Spring Ln,,Baltimore,Baltimore City,MD,21215,39.339615,-76.666588,Convenience Store
1428539,155369,LivingWell,12004 Cherry Hill Rd,,Silver Spring,Montgomery,MD,20904,39.052448,-76.956917,Other
